"caseId","target","commander","unit","producer","status","complete","hasErrors","parentChain","staticAbilityCount","issueCount","exitCode"
"raynor-marauder","E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map","","MarauderRaynor","BarracksRaynor","incomplete","False","False","MarauderRaynor>Marauder","1","3","1"
"raynor-marine","E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map","","MarineRaynor","BarracksRaynor","incomplete","False","False","MarineRaynor>Marine","1","3","1"
"raynor-vulture","E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map","","VultureRaynor","FactoryRaynor","incomplete","False","False","VultureRaynor>Vulture","1","3","1"
