"target","mode","profile","commanders","loadOrderCount","issueCount","errorCount","warningCount","incompleteCount","completeGuess"
"E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map","declared","","","5","6","0","0","0","false"
"E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\thanson01_7vs1.SC2Map","declared","","","5","6","0","0","0","false"
"E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\thorner01_7vs1.SC2Map","declared","","","5","6","0","0","0","false"
"E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map","effective","7vs1","TerranRaynor","34","6","0","0","0","false"
